0.7,2.2343e+05,10072,2.264e+08,1.0094e+07,1320
0.7,2.2707e+05,77947,2.5233e+08,8.6615e+07,1320
0.7,2.4483e+05,76943,2.7292e+08,8.577e+07,1320
0.7,1.8785e+05,1.2529e+05,2.1019e+08,1.4019e+08,1320
0.7,2.1071e+05,15774,2.3696e+08,1.7734e+07,1320
0.7,2.072e+05,5346.3,2.3384e+08,6.0212e+06,1320
0.7,2.0152e+05,18523,2.2785e+08,2.0939e+07,1320
0.7,2.1226e+05,87313,2.411e+08,9.9173e+07,1320
0.7,2.3348e+05,88985,2.6525e+08,1.0109e+08,1320
0.7,2.1657e+05,73258,2.4624e+08,8.3295e+07,1320
0.7,2.0809e+05,5664.9,2.3669e+08,6.4343e+06,1320
0.7,1.9737e+05,43099,2.2475e+08,4.9079e+07,1320
0.7,2.1278e+05,6144.9,2.4248e+08,6.9942e+06,1320
0.7,2.1578e+05,8867.3,2.4611e+08,1.0108e+07,1320
0.7,2.2253e+05,13470,2.5398e+08,1.537e+07,1320
0.7,2.3162e+05,21300,2.645e+08,2.4321e+07,1320
0.7,2.3089e+05,26912,2.638e+08,3.0746e+07,1320
0.7,2.2148e+05,9721.3,5.3182e+08,2.3082e+07,4080
0.7,2.0861e+05,50940,5.4931e+08,1.3413e+08,4080
0.7,2.0973e+05,48882,5.5402e+08,1.2912e+08,4080
0.7,2.0437e+05,1.1478e+05,5.4189e+08,3.0433e+08,4080
0.7,2.068e+05,10886,5.5108e+08,2.8999e+07,4080
0.7,2.0646e+05,5268.6,5.5213e+08,1.4077e+07,4080
0.7,2.0643e+05,12233,5.5307e+08,3.2769e+07,4080
0.7,1.692e+05,68594,4.5519e+08,1.8454e+08,4080
0.7,1.9792e+05,55609,5.327e+08,1.4967e+08,4080
0.7,1.9767e+05,56633,5.3215e+08,1.5246e+08,4080
0.7,1.8783e+05,45785,5.0608e+08,1.2336e+08,4080
0.7,2.0707e+05,5253.1,5.5811e+08,1.4152e+07,4080
0.7,2.1351e+05,28031,5.7614e+08,7.5639e+07,4080
0.7,2.1139e+05,6051.6,5.7084e+08,1.6337e+07,4080
0.7,2.1399e+05,8727.4,5.7837e+08,2.3585e+07,4080
0.7,2.1947e+05,12974,5.9358e+08,3.5088e+07,4080
0.7,2.2374e+05,19195,6.0543e+08,5.1939e+07,4080
0.7,2.3097e+05,26816,6.2532e+08,7.2601e+07,4080
1.0833,1.6652e+05,7754.1,1.5528e+08,7.1557e+06,1200
1.0833,1.5659e+05,70269,1.6013e+08,7.1856e+07,1200
1.0833,1.6785e+05,1.1118e+05,1.7283e+08,1.1448e+08,1200
1.0833,1.5879e+05,14780,1.6433e+08,1.5292e+07,1200
1.0833,1.5575e+05,4065,1.6176e+08,4.212e+06,1200
1.0833,1.4657e+05,14458,1.525e+08,1.504e+07,1200
1.0833,1.5294e+05,74046,1.5986e+08,7.7396e+07,1200
1.0833,1.4254e+05,62571,1.4915e+08,6.547e+07,1200
1.0833,1.5668e+05,4435.6,1.64e+08,4.6356e+06,1200
1.0833,1.6208e+05,39907,1.6985e+08,4.1819e+07,1200
1.0833,1.5971e+05,4701.2,1.6749e+08,4.9232e+06,1200
1.0833,1.6076e+05,6636.6,1.6874e+08,6.9611e+06,1200
1.0833,1.6437e+05,10100,1.7264e+08,1.0605e+07,1200
1.0833,1.6523e+05,16051,1.7364e+08,1.6866e+07,1200
1.0833,1.7327e+05,20269,1.8218e+08,2.131e+07,1200
1.4333,1.2971e+05,6270.3,1.102e+08,5.2753e+06,1080
1.4333,1.5387e+05,62742,1.4382e+08,5.864e+07,1080
1.4333,1.3596e+05,95409,1.2755e+08,8.9507e+07,1080
1.4333,1.1503e+05,12720,1.0846e+08,1.1991e+07,1080
1.4333,1.206e+05,3187.9,1.1412e+08,3.0084e+06,1080
1.4333,1.1968e+05,13426,1.1345e+08,1.2726e+07,1080
1.4333,1.2042e+05,71976,1.147e+08,6.8559e+07,1080
1.4333,1.2021e+05,3620.4,1.1464e+08,3.4467e+06,1080
1.4333,1.3165e+05,35559,1.2569e+08,3.395e+07,1080
1.4333,1.221e+05,3634.3,1.1666e+08,3.4666e+06,1080
1.4333,1.2421e+05,5128.6,1.1878e+08,4.9002e+06,1080
1.4333,1.2511e+05,7818.2,1.1972e+08,7.4787e+06,1080
1.4333,1.2575e+05,12958,1.204e+08,1.2405e+07,1080
1.4333,1.3535e+05,15902,1.2966e+08,1.5231e+07,1080
1.7333,1.0038e+05,4951.2,8.5281e+07,4.1672e+06,1080
1.7333,1.0903e+05,58923,1.0158e+08,5.4897e+07,1080
1.7333,1.1296e+05,55625,1.0557e+08,5.1989e+07,1080
1.7333,1.2148e+05,83478,1.1396e+08,7.8314e+07,1080
1.7333,86810,11131,8.1849e+07,1.0493e+07,1080
1.7333,95056,2583.6,8.9945e+07,2.4385e+06,1080
1.7333,99533,12427,9.4352e+07,1.1779e+07,1080
1.7333,94761,3041.3,9.037e+07,2.8961e+06,1080
1.7333,1.0595e+05,30836,1.0116e+08,2.9441e+07,1080
1.7333,96990,2887,9.2669e+07,2.7537e+06,1080
1.7333,97424,4042.6,9.3167e+07,3.8626e+06,1080
1.7333,99282,6447.4,9.5006e+07,6.1676e+06,1080
1.7333,99697,10920,9.5454e+07,1.0454e+07,1080
1.7333,1.0534e+05,12415,1.0091e+08,1.1892e+07,1080
