3.1,723.56,185.96,8.0316e+05,2.0641e+05,1200
3.1,1224.4,94.256,1.3687e+06,1.0534e+05,1200
3.1,800.05,70.303,9.0302e+05,79335,1200
3.4333,657.5,125.16,1.3957e+06,2.6566e+05,2400
3.4333,1091.9,63.115,2.318e+06,1.3396e+05,2400
3.4333,733.29,54.499,1.5827e+06,1.1762e+05,2400
4.1167,541.34,103.59,1.1491e+06,2.1987e+05,2400
6.8833,248.05,59.551,9.6475e+05,2.316e+05,4800
6.8833,734.79,37.389,2.8209e+06,1.4351e+05,4800
6.8833,303,22.307,1.1983e+06,88216,4800
8.2167,188.96,57.416,7.3493e+05,2.233e+05,4800
8.2167,671.54,34.739,2.5781e+06,1.3334e+05,4800
8.2167,205.17,17.863,8.1141e+05,70642,4800
