3.1,418.71,64.227
3.1,414.29,35.484
3.1,408.39,25.724
-5.9e+07,NaN,NaN
-5.9e+07,NaN,NaN
3.1,421.54,47.548
3.1,433.74,27.624
3.1,415.42,20.736
-5.9e+07,NaN,NaN
-5.9e+07,NaN,NaN
3.1,388.55,39.569
3.1,433.92,25.477
3.1,412.9,20.373
-5.9e+07,NaN,NaN
-5.9e+07,NaN,NaN
6.8833,380.72,30.122
6.8833,404.23,20.946
6.8833,403.95,17.935
-5.9e+07,NaN,NaN
#6.8833,2131.3,961.74
6.8833,394.43,26.774
6.8833,401.61,20.371
6.8833,395.33,17.396
-5.9e+07,NaN,NaN
#6.8833,1522.9,873.46
42.867,247.67,18.775
42.867,264.32,14.313
42.867,258.01,11.672
42.867,329.93,174.43
-5.9e+07,NaN,NaN
