#ZVView-data-copy:  23-Feb-2020 09:03:47
#=======================================
#
#name:   30-ZN-64(N,P)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  320
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          2.88         0.14       0.0464       0.0047  # 1959,J.Rapaport+         ## 30218002  #dY:10.1%  
          2.89         0.15        0.043        0.009  # 1962,K.Nakai+            ## 20291005  #dY:20.9%  
          2.92            0       0.0673       0.0026  # 1990,Y.Ikeda+            ## 22191005  #dY:3.9%   
         2.963        0.078      0.07463     0.003732  # 1975,D.L.Smith+          ## 10238043  #dY:5.0%   
         2.992         0.16       0.0569     0.002276  # 1983,H.A.Husain+         ## 21879005  #dY:4.0%   
          3.01            0       0.0759       0.0029  # 1990,Y.Ikeda+            ## 22191005  #dY:3.8%   
          3.03        0.025       0.0805       0.0043  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
          3.04          0.2       0.0464       0.0034  # 1959,J.Rapaport+         ## 30218002  #dY:7.3%   
          3.13        0.025       0.0905       0.0048  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
          3.15         0.12       0.0488       0.0049  # 1959,J.Rapaport+         ## 30218002  #dY:10.0%  
         3.165        0.078      0.09419      0.00471  # 1975,D.L.Smith+          ## 10238043  #dY:5.0%   
          3.21         0.15        0.064        0.013  # 1962,K.Nakai+            ## 20291003  #dY:20.3%  
          3.27         0.09       0.0513       0.0052  # 1959,J.Rapaport+         ## 30218002  #dY:10.1%  
           3.3          0.1       0.0515        0.005  # 1961,J.J.Van Loef        ## 30221004  #dY:9.7%   
          3.33        0.025       0.1026       0.0054  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
         3.367        0.078       0.1089     0.005447  # 1975,D.L.Smith+          ## 10238043  #dY:5.0%   
           3.4         0.13       0.0535       0.0038  # 1959,J.Rapaport+         ## 30218002  #dY:7.1%   
         3.472         0.26      0.07608    0.0030432  # 1983,H.A.Husain+         ## 21879005  #dY:4.0%   
          3.55          0.1       0.0564        0.004  # 1959,J.Rapaport+         ## 30218002  #dY:7.1%   
         3.568        0.078       0.1136     0.005682  # 1975,D.L.Smith+          ## 10238043  #dY:5.0%   
          3.57          0.1        0.136     0.008432  # 2008,M.Furuta+           ## 23032009  #dY:6.2%   
          3.61        0.135        0.085        0.018  # 1962,K.Nakai+            ## 20291003  #dY:21.2%  
          3.63        0.025       0.1201       0.0064  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
          3.71        0.145        0.077        0.016  # 1962,K.Nakai+            ## 20291005  #dY:20.8%  
          3.77        0.078       0.1253     0.006264  # 1975,D.L.Smith+          ## 10238043  #dY:5.0%   
          3.83        0.025       0.1288       0.0068  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
          3.93        0.025       0.1308        0.007  # 1979,C.H.King+           ## 30529002  #dY:5.4%   
         3.933         0.34       0.1047     0.004188  # 1983,H.A.Husain+         ## 21879005  #dY:4.0%   
         3.958        0.078       0.1304     0.006519  # 1975,D.L.Smith+          ## 10238043  #dY:5.0%   
          3.98         0.11        0.091        0.019  # 1962,K.Nakai+            ## 20291003  #dY:20.9%  
             4         0.08       0.1329       0.0038  # 1999,Xiaolong Huang+     ## 31500002  #dY:2.9%   
          4.02        0.025       0.1392       0.0074  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
          4.05          0.1        0.127     0.007239  # 2008,M.Furuta+           ## 23032009  #dY:5.7%   
          4.13         0.11        0.098         0.02  # 1962,K.Nakai+            ## 20291005  #dY:20.4%  
         4.172        0.079        0.136     0.006802  # 1975,D.L.Smith+          ## 10238044  #dY:5.0%   
          4.23        0.025       0.1445       0.0077  # 1979,C.H.King+           ## 30529002  #dY:5.3%   
         4.259         0.37       0.1078     0.004312  # 1983,H.A.Husain+         ## 21879005  #dY:4.0%   
