# Foil Index, Average Neutron Flux (a.u.), Uncertainty in Average Neutron Flux (a.u.), % Uncertainty
0.000000000000000000e+00,2.539670096427574754e+06,7.255694663840490393e+05,2.856943771573602575e+01
1.000000000000000000e+00,3.885900201005202532e+07,2.419946844306563027e+06,6.227506418411293154e+00
