E (MeV), Flux (arb.)
29.1,824641669.902
29.2,811986191.689
29.3,799600856.548
29.4,787478124.878
29.5,775610707.828
29.6,763991558.054
29.7,752613860.84
29.8,741471025.559
29.9,730556677.457
30.0,719864649.762
30.1,709388976.095
30.2,699123883.171
30.3,689063783.785
30.4,679203270.068
30.5,669537107.008
30.6,660060226.21
30.7,650767719.913
30.8,641654835.221
30.9,632716968.571
31.0,623949660.406
31.1,615348590.051
31.2,606909570.797
31.3,598628545.161
31.4,590501580.334
31.5,582524863.807
31.6,574694699.153
31.7,567007501.982
31.8,559459796.042
31.9,552048209.472
32.0,544769471.196
32.1,537620407.453
32.2,530597938.458
32.3,523699075.193
32.4,516920916.309
32.5,510260645.157
32.6,503715526.919
32.7,497282905.853
32.8,490960202.634
32.9,484744911.805
33.0,478634599.31
33.1,472626900.123
33.2,466719515.97
33.3,460910213.123
33.4,455196820.288
