#rp039090.L02         Number of runs:    300
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-11 1.12274E+02 9.34904E+01 1.31058E+02
 2.53000E-08 2.23214E+00 1.85869E+00 2.60558E+00
 1.00000E-06 3.55043E-01 2.95643E-01 4.14443E-01
 1.00000E-05 1.12274E-01 9.34904E-02 1.31058E-01
 1.00000E-04 3.55043E-02 2.95642E-02 4.14443E-02
 2.00000E-04 2.51053E-02 2.09051E-02 2.93056E-02
 3.00000E-04 2.04984E-02 1.70689E-02 2.39279E-02
 6.00000E-04 1.44946E-02 1.20696E-02 1.69196E-02
 7.40000E-04 1.30516E-02 1.08680E-02 1.52353E-02
 1.00000E-03 2.11346E-02 1.75094E-02 2.47597E-02
 2.00000E-03 6.43609E-02 5.15655E-02 7.71562E-02
 3.00000E-03 1.23777E-01 9.60791E-02 1.51474E-01
 3.70000E-03 1.73723E-01 1.32253E-01 2.15194E-01
 6.00000E-03 1.29970E-01 9.90954E-02 1.60845E-01
 1.00000E-02 9.41027E-02 7.20572E-02 1.16148E-01
 2.00000E-02 6.78035E-02 5.36184E-02 8.19886E-02
 3.00000E-02 6.62398E-02 5.38798E-02 7.85998E-02
 6.00000E-02 9.00304E-02 7.58842E-02 1.04176E-01
 1.00000E-01 1.34891E-01 1.13923E-01 1.55859E-01
 2.00000E-01 2.51854E-01 2.10390E-01 2.93319E-01
 3.00000E-01 3.22064E-01 2.71510E-01 3.72618E-01
 4.00000E-01 3.60762E-01 3.04687E-01 4.16837E-01
 5.00000E-01 3.91935E-01 3.31417E-01 4.52454E-01
 6.00000E-01 4.27327E-01 3.62611E-01 4.92044E-01
 7.00000E-01 4.71908E-01 4.02358E-01 5.41458E-01
 8.00000E-01 5.27669E-01 4.51817E-01 6.03521E-01
 9.00000E-01 5.95268E-01 5.10941E-01 6.79596E-01
 1.00000E+00 3.09572E-01 2.42810E-01 3.76334E-01
 1.20000E+00 2.92824E-01 2.24792E-01 3.60856E-01
