# Foil Index, Average Neutron Flux (a.u.), Uncertainty in Average Neutron Flux (a.u.), % Uncertainty
0.000000000000000000e+00,2.791624122466495464e+04,5.816168102451679260e+02,2.083435250341974854e+00
1.000000000000000000e+00,2.994362186529277096e+04,6.169550083263909528e+02,2.060388723521434873e+00
