0.7,2.2067e+05,10963
0.7,2.2448e+05,77407
0.7,2.4257e+05,76669
0.7,1.8666e+05,1.2467e+05
0.7,2.1062e+05,17470
0.7,2.0821e+05,9020.4
0.7,2.0301e+05,19876
-5.9e+07,NaN,NaN
0.7,2.1401e+05,88314
0.7,2.353e+05,90019
0.7,2.1771e+05,74019
0.7,2.0889e+05,9201.2
0.7,1.9664e+05,43484
0.7,2.1053e+05,9048
0.7,2.1094e+05,9098
0.7,2.1456e+05,9766
0.7,2.1977e+05,13383
0.7,2.1399e+05,9685.3
0.7,2.1874e+05,10614
0.7,2.0628e+05,50819
0.7,2.0779e+05,48931
0.7,2.0308e+05,1.1427e+05
0.7,2.0671e+05,13135
0.7,2.0746e+05,8932.2
0.7,2.0796e+05,14166
0.7,1.7072e+05,69432
0.7,1.9957e+05,56455
0.7,1.9921e+05,57454
0.7,1.8884e+05,46478
0.7,2.0786e+05,8901.8
0.7,2.1274e+05,28890
0.7,2.0916e+05,8932.6
0.7,2.092e+05,8939.6
0.7,2.1161e+05,9208.3
0.7,2.1229e+05,10831
0.7,2.1406e+05,9414.6
0.7,1.6446e+05,8397
0.7,1.5485e+05,69670
-5.9e+07,NaN,NaN
0.7,1.6678e+05,1.1063e+05
0.7,1.5872e+05,15826
0.7,1.5651e+05,6812.3
0.7,1.4766e+05,15394
-5.9e+07,NaN,NaN
0.7,1.542e+05,74828
-5.9e+07,NaN,NaN
0.7,1.4332e+05,63105
0.7,1.5727e+05,7038.7
0.7,1.615e+05,40161
0.7,1.5803e+05,6854.9
0.7,1.5716e+05,6810.4
0.7,1.5848e+05,7408.6
0.7,1.5677e+05,10738
0.7,1.6059e+05,7446.2
0.7,1.281e+05,6752.5
-5.9e+07,NaN,NaN
0.7,1.5241e+05,62359
0.7,1.3506e+05,94898
0.7,1.1498e+05,13364
0.7,1.2118e+05,5303.3
0.7,1.2058e+05,14129
-5.9e+07,NaN,NaN
-5.9e+07,NaN,NaN
0.7,1.2136e+05,72651
-5.9e+07,NaN,NaN
0.7,1.2067e+05,5544.8
0.7,1.3117e+05,35724
0.7,1.2081e+05,5271.7
0.7,1.2143e+05,5267
0.7,1.2063e+05,5807.6
0.7,1.1932e+05,9145.3
0.7,1.2545e+05,5977.7
0.7,99138,5315.3
0.7,1.0781e+05,58373
0.7,1.1188e+05,55227
0.7,1.2076e+05,83096
0.7,86789,11553
0.7,95516,4223.5
0.7,1.0027e+05,12970
-5.9e+07,NaN,NaN
-5.9e+07,NaN,NaN
-5.9e+07,NaN,NaN
-5.9e+07,NaN,NaN
0.7,95123,4496.5
0.7,1.0558e+05,30948
0.7,95966,4187.7
0.7,95242,4149.8
0.7,95727,4909.1
0.7,94594,8057
0.7,97631,4741.6
