#rp039091.L01         Number of runs:    180
#
#
#
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.40000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.60000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 1.80000E+00 7.56861E-14 7.56861E-14 7.56861E-14
 2.00000E+00 2.51229E-10 2.51229E-10 2.51229E-10
 2.20000E+00 3.81034E-08 9.94760E-14 7.62067E-08
 2.40000E+00 8.06874E-07 2.82996E-07 1.33075E-06
 2.60000E+00 1.00941E-05 3.24569E-06 1.69424E-05
 2.80000E+00 8.43148E-05 2.71482E-05 1.41481E-04
 3.00000E+00 4.02929E-04 1.33249E-04 6.72609E-04
 3.20000E+00 1.17318E-03 3.99898E-04 1.94647E-03
 3.40000E+00 2.94202E-03 9.83967E-04 4.90007E-03
 3.60000E+00 6.35915E-03 2.08580E-03 1.06325E-02
 3.80000E+00 1.22090E-02 3.97816E-03 2.04399E-02
 4.00000E+00 2.15263E-02 7.07938E-03 3.59732E-02
 4.20000E+00 3.53998E-02 1.19167E-02 5.88829E-02
 4.40000E+00 5.49148E-02 1.90925E-02 9.07370E-02
 4.60000E+00 8.11673E-02 2.93244E-02 1.33010E-01
 4.80000E+00 1.15285E-01 4.34343E-02 1.87135E-01
 5.00000E+00 1.57962E-01 6.21825E-02 2.53742E-01
 5.20000E+00 2.09164E-01 8.60730E-02 3.32256E-01
 5.40000E+00 2.68343E-01 1.15193E-01 4.21493E-01
 5.60000E+00 3.44599E-01 1.55900E-01 5.33299E-01
 5.80000E+00 4.07988E-01 1.88023E-01 6.27953E-01
 6.00000E+00 4.86651E-01 2.30128E-01 7.43173E-01
 6.20000E+00 5.68186E-01 2.77126E-01 8.59246E-01
 6.40000E+00 6.54201E-01 3.26819E-01 9.81583E-01
 6.60000E+00 7.77081E-01 4.13492E-01 1.14067E+00
 6.80000E+00 8.34592E-01 4.44484E-01 1.22470E+00
 7.00000E+00 9.21949E-01 5.13111E-01 1.33079E+00
 7.20000E+00 1.05590E+00 6.13833E-01 1.49797E+00
 7.40000E+00 1.17356E+00 7.11191E-01 1.63594E+00
 7.60000E+00 1.37237E+00 8.85140E-01 1.85959E+00
 7.80000E+00 1.47577E+00 9.65243E-01 1.98630E+00
 8.00000E+00 1.60738E+00 1.09047E+00 2.12430E+00
 8.50000E+00 2.14695E+00 1.54066E+00 2.75325E+00
 9.00000E+00 2.85278E+00 2.11329E+00 3.59227E+00
 9.50000E+00 3.72796E+00 2.80187E+00 4.65404E+00
 1.00000E+01 4.76146E+00 3.58564E+00 5.93729E+00
 1.05000E+01 5.99691E+00 4.54712E+00 7.44671E+00
 1.10000E+01 7.40540E+00 5.63552E+00 9.17529E+00
 1.15000E+01 8.96666E+00 6.82997E+00 1.11033E+01
 1.20000E+01 1.06218E+01 8.08120E+00 1.31624E+01
 1.25000E+01 1.25796E+01 9.57195E+00 1.55872E+01
 1.30000E+01 1.42701E+01 1.08619E+01 1.76784E+01
 1.35000E+01 1.57821E+01 1.19823E+01 1.95818E+01
 1.40000E+01 1.70164E+01 1.27398E+01 2.12930E+01
 1.45000E+01 1.81093E+01 1.33025E+01 2.29160E+01
 1.50000E+01 1.88948E+01 1.35247E+01 2.42649E+01
 1.60000E+01 2.02619E+01 1.38941E+01 2.66297E+01
 1.70000E+01 2.11786E+01 1.41499E+01 2.82073E+01
 1.80000E+01 2.19074E+01 1.44544E+01 2.93603E+01
 1.90000E+01 2.23020E+01 1.46701E+01 2.99340E+01
 2.00000E+01 2.23758E+01 1.47460E+01 3.00056E+01
 2.10000E+01 2.26037E+01 1.49645E+01 3.02430E+01
 2.20000E+01 2.29065E+01 1.52800E+01 3.05330E+01
 2.30000E+01 2.24378E+01 1.50278E+01 2.98479E+01
 2.40000E+01 2.22838E+01 1.49406E+01 2.96269E+01
 2.50000E+01 2.15887E+01 1.45147E+01 2.86627E+01
 2.60000E+01 2.08963E+01 1.41005E+01 2.76922E+01
 2.70000E+01 2.04528E+01 1.37755E+01 2.71300E+01
 2.80000E+01 1.96488E+01 1.32689E+01 2.60286E+01
 2.90000E+01 1.90991E+01 1.28539E+01 2.53442E+01
 3.00000E+01 1.85850E+01 1.24861E+01 2.46840E+01
 3.20000E+01 1.71704E+01 1.15356E+01 2.28051E+01
 3.40000E+01 1.56105E+01 1.04877E+01 2.07333E+01
 3.60000E+01 1.42214E+01 9.55444E+00 1.88884E+01
 3.80000E+01 1.32067E+01 8.87272E+00 1.75407E+01
 4.00000E+01 1.18827E+01 7.98319E+00 1.57821E+01
 4.20000E+01 1.09614E+01 7.36427E+00 1.45586E+01
 4.40000E+01 1.01410E+01 6.81307E+00 1.34689E+01
 4.60000E+01 9.39697E+00 6.31321E+00 1.24807E+01
 4.80000E+01 8.73223E+00 5.86662E+00 1.15978E+01
 5.00000E+01 7.80914E+00 5.24646E+00 1.03718E+01
