#rp049112.L01         Number of runs:     20
# Q-value    =-9.44831E+00 mass= 111.905538
# E-threshold= 9.53272E+00
# # energies =   121
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 9.00000E+01 5.75818E+01 3.66995E+01 7.84640E+01
 1.00000E+02 5.13981E+01 3.27584E+01 7.00379E+01
 1.10000E+02 4.56196E+01 2.90754E+01 6.21637E+01
 1.20000E+02 3.98312E+01 2.53863E+01 5.42762E+01
 1.30000E+02 3.48715E+01 2.22252E+01 4.75178E+01
 1.40000E+02 3.08780E+01 1.96799E+01 4.20760E+01
 1.50000E+02 2.75158E+01 1.75370E+01 3.74945E+01
 1.60000E+02 2.43363E+01 1.55106E+01 3.31619E+01
 1.80000E+02 1.99073E+01 1.26878E+01 2.71268E+01
 2.00000E+02 1.63345E+01 1.04107E+01 2.22583E+01
