#rp030069.L01         Number of runs:    250
# Q-value    =0.99+01 mass=  efg.930084
# E-threshold= 4.1507E+01
# # energies =   121
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 3.60000E+01 1.93531E+02 1.23173E+02 2.63890E+02
 3.80000E+01 1.81138E+02 1.15285E+02 2.46991E+02
 4.00000E+01 1.70067E+02 1.08239E+02 2.31894E+02
 4.20000E+01 1.59257E+02 1.01359E+02 2.17155E+02
 4.40000E+01 1.49756E+02 9.53120E+01 2.04199E+02
 4.60000E+01 1.40405E+02 8.93608E+01 1.91449E+02
 4.80000E+01 1.33490E+02 8.49601E+01 1.82021E+02
 5.00000E+01 1.25132E+02 7.96404E+01 1.70624E+02
 5.20000E+01 1.18399E+02 7.53549E+01 1.61442E+02
 5.40000E+01 1.12318E+02 7.14848E+01 1.53151E+02
 5.60000E+01 1.07573E+02 6.84648E+01 1.46681E+02
 5.80000E+01 1.04039E+02 6.62155E+01 1.41862E+02
 6.00000E+01 1.02372E+02 6.51549E+01 1.39590E+02
 6.50000E+01 9.13830E+01 5.81608E+01 1.24605E+02
 7.00000E+01 8.26738E+01 5.26178E+01 1.12730E+02
 7.50000E+01 7.49142E+01 4.76792E+01 1.02149E+02
 8.00000E+01 6.77263E+01 4.31044E+01 9.23481E+01
 9.00000E+01 5.60589E+01 3.56787E+01 7.64390E+01
 1.00000E+02 4.76736E+01 3.03419E+01 6.50052E+01
 1.10000E+02 4.12013E+01 2.62226E+01 5.61800E+01
 1.20000E+02 3.60831E+01 2.29651E+01 4.92011E+01
 1.30000E+02 3.19212E+01 2.03163E+01 4.35261E+01
 1.40000E+02 2.82602E+01 1.79862E+01 3.85342E+01
 1.50000E+02 2.54901E+01 1.62232E+01 3.47570E+01
 1.60000E+02 2.27909E+01 1.45053E+01 3.10766E+01
 1.80000E+02 1.88690E+01 1.20092E+01 2.57289E+01
 2.00000E+02 1.57790E+01 1.00426E+01 2.15154E+01
