#rp030069.L01         Number of runs:    200
# Q-value    =-1.49353E+01 mass=  64.930084
# E-threshold= 1.51507E+01
# # energies =   121
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 3.40000E+01 1.02104E-01 0.00000E+00 2.04208E-01
 3.60000E+01 9.31927E-02 0.00000E+00 1.86385E-01
 3.80000E+01 8.65824E-02 0.00000E+00 1.73165E-01
 4.00000E+01 8.15219E-02 0.00000E+00 1.63044E-01
 4.20000E+01 7.66874E-02 0.00000E+00 1.53375E-01
 4.40000E+01 7.31162E-02 0.00000E+00 1.46232E-01
 4.60000E+01 6.96026E-02 0.00000E+00 1.39205E-01
 4.80000E+01 6.64764E-02 0.00000E+00 1.32953E-01
 5.00000E+01 6.39473E-02 0.00000E+00 1.27895E-01
 5.20000E+01 6.13563E-02 0.00000E+00 1.22713E-01
 5.40000E+01 5.87327E-02 0.00000E+00 1.17465E-01
 5.60000E+01 5.66127E-02 0.00000E+00 1.13225E-01
 5.80000E+01 5.48365E-02 0.00000E+00 1.09673E-01
 6.00000E+01 5.29973E-02 0.00000E+00 1.05995E-01
 6.50000E+01 4.90762E-02 0.00000E+00 9.81524E-02
 7.00000E+01 4.47437E-02 0.00000E+00 8.94874E-02
 7.50000E+01 4.14054E-02 0.00000E+00 8.28108E-02
 8.00000E+01 3.79480E-02 0.00000E+00 7.58960E-02
 9.00000E+01 3.31195E-02 0.00000E+00 6.62389E-02
 1.00000E+02 2.96536E-02 0.00000E+00 5.93072E-02
 1.10000E+02 2.22382E-02 0.00000E+00 4.44764E-02
 1.20000E+02 1.69739E-02 0.00000E+00 3.39479E-02
 1.30000E+02 1.45530E-02 0.00000E+00 2.91060E-02
 1.40000E+02 1.22558E-02 0.00000E+00 2.45117E-02
 1.50000E+02 1.04393E-02 0.00000E+00 2.08787E-02
 1.60000E+02 8.80818E-03 0.00000E+00 1.76164E-02
 1.80000E+02 6.40216E-03 0.00000E+00 1.28043E-02
 2.00000E+02 4.19048E-03 0.00000E+00 8.38095E-03
