#ZVView-data-copy:  22-Mar-2020 05:38:40
#=======================================
#
#name:   40-ZR-92(N,P)39-Y-92,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  85
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.7          0.3       0.0192       0.0018  # 1985,B.Anders+           ## 21976028  #dY:9.4%   
          14.7         0.15       0.0206       0.0011  # 1972,V.K.Tikku+          ## 30394009  #dY:5.3%   
          14.7            0        0.017       0.0009  # 1996,K.T.Osman+          ## 31464023  #dY:5.3%   
         14.78            0       0.0205       0.0023  # 1999,A.A.Filatenkov+     ## 41240034  #dY:11.2%  
         14.78            0       0.0206    0.0025544  # 2016,A.A.Filatenkov      ## 41614061  #dY:12.4%  
          14.8          0.2        0.022        0.002  # 2010,V.Semkova+          ## 22822006  #dY:9.1%   
          14.8         0.25        0.016        0.003  # 1971,R.Prasad+           ## 30336026  #dY:18.7%  
          14.8          0.3       0.0176       0.0023  # 1990,A.Marcinkowski+     ## 30940004  #dY:13.1%  
          14.8            0         0.02        0.003  # 1970,V.N.Levkovskii+     ## 40226020  #dY:15.0%  
         14.81        0.125       0.0206       0.0006  # 1977,K.Sailer+           ## 30438011  #dY:2.9%   
         14.83            0       0.0201       0.0016  # 1991,N.I.Molla+          ## 30985008  #dY:8.0%   
         14.93            0       0.0214       0.0022  # 1988,Y.Ikeda+            ## 22089058  #dY:10.3%  
          15.2          0.2       0.0208       0.0026  # 1990,A.Marcinkowski+     ## 30940004  #dY:12.5%  
          15.3          0.2        0.023        0.003  # 2010,V.Semkova+          ## 22822006  #dY:13.0%  
          15.4          0.2        0.021       0.0026  # 1990,A.Marcinkowski+     ## 30940004  #dY:12.4%  
          15.9          0.5       0.0225       0.0033  # 1990,A.Marcinkowski+     ## 30940004  #dY:14.7%  
          16.3          0.3        0.027        0.003  # 2010,V.Semkova+          ## 22822006  #dY:11.1%  
          16.6          0.1       0.0219       0.0033  # 1990,A.Marcinkowski+     ## 30940004  #dY:15.1%  
            17          0.2        0.027        0.003  # 2010,V.Semkova+          ## 22822006  #dY:11.1%  
          17.8          0.2        0.025        0.003  # 2010,V.Semkova+          ## 22822006  #dY:12.0%  
            18          0.2        0.026        0.003  # 2010,V.Semkova+          ## 22822006  #dY:11.5%  
          19.1          0.2        0.026        0.003  # 2010,V.Semkova+          ## 22822006  #dY:11.5%  
          19.4          0.2        0.025        0.003  # 2010,V.Semkova+          ## 22822006  #dY:12.0%  
          20.6          0.1        0.023        0.003  # 2010,V.Semkova+          ## 22822006  #dY:13.0%  
//
#-------------------------------------------------------------------------------
