#ZVView-data-copy:  25-Mar-2020 06:52:43
#=======================================
#
#name:   40-ZR-94(N,A)38-SR-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  93
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.1            0       0.0049       0.0006  # 1955,J.E.Brolley Jr+     ## 11860003  #dY:12.2%  
          14.1            0      0.00399      0.00016  # 1960,C.H.Reed            ## 11896012  #dY:4.0%   
          14.1            0       0.0057       0.0006  # 1991,N.I.Molla+          ## 30985010  #dY:10.5%  
         14.19            0      0.00462      0.00045  # 1999,A.A.Filatenkov+     ## 41240035  #dY:9.7%   
         14.19            0      0.00462   0.00047124  # 2016,A.A.Filatenkov      ## 41614062  #dY:10.2%  
          14.2          0.2       0.0054       0.0011  # 1978,C.V.Srinivasa Rao   ## 30574013  #dY:20.4%  
          14.2          0.3       0.0041       0.0006  # 1990,A.Marcinkowski+     ## 30940007  #dY:14.6%  
         14.31        0.065       0.0057       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:7.0%   
          14.4         0.15        0.005        0.001  # 1970,W.D.Lu+             ## 10145024  #dY:20.0%  
         14.42            0       0.0049      0.00043  # 1999,A.A.Filatenkov+     ## 41240035  #dY:8.8%   
         14.42            0      0.00489   0.00045184  # 2016,A.A.Filatenkov      ## 41614062  #dY:9.2%   
         14.44            0      0.00475      0.00039  # 1988,Y.Ikeda+            ## 22089061  #dY:8.2%   
          14.5          0.1       0.0055       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:7.3%   
          14.5            0       0.0038            0  # 1963,S.K.Mukherjee+      ## 31330005             
         14.58            0       0.0058       0.0005  # 1991,N.I.Molla+          ## 30985010  #dY:8.6%   
          14.6            0       0.0063       0.0005  # 1977,Y.Fujino+           ## 20850011  #dY:7.9%   
          14.6         0.12       0.0047      0.00012  # 1993,A.Grallert+         ## 31496016  #dY:2.6%   
         14.61            0        0.005      0.00049  # 1999,A.A.Filatenkov+     ## 41240035  #dY:9.8%   
         14.61            0      0.00499   0.00050898  # 2016,A.A.Filatenkov      ## 41614062  #dY:10.2%  
         14.68         0.13        0.006       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:6.7%   
         14.68            0       0.0049      0.00042  # 1988,Y.Ikeda+            ## 22089061  #dY:8.6%   
          14.7          0.1       0.0043       0.0011  # 1963,E.T.Bramlitt+       ## 11590043  #dY:25.6%  
          14.7         0.15        0.004       0.0003  # 1974,S.M.Qaim+           ## 20513020  #dY:7.5%   
          14.7          0.3       0.0043       0.0004  # 1985,B.Anders+           ## 21976030  #dY:9.3%   
         14.78            0       0.0053      0.00036  # 1999,A.A.Filatenkov+     ## 41240035  #dY:6.8%   
         14.78            0      0.00532   0.00039315  # 2016,A.A.Filatenkov      ## 41614062  #dY:7.4%   
          14.8          0.2       0.0053       0.0004  # 2010,V.Semkova+          ## 22822011  #dY:7.5%   
          14.8          0.3       0.0048       0.0007  # 1990,A.Marcinkowski+     ## 30940007  #dY:14.6%  
          14.8            0       0.0052       0.0007  # 1970,V.N.Levkovskii+     ## 40226023  #dY:13.5%  
         14.81        0.125       0.0047       0.0002  # 1977,K.Sailer+           ## 30438014  #dY:4.3%   
         14.83            0       0.0052       0.0005  # 1991,N.I.Molla+          ## 30985010  #dY:9.6%   
          14.9            0       0.0039       0.0005  # 1955,J.E.Brolley Jr+     ## 11860003  #dY:12.8%  
         14.93         0.18       0.0062       0.0004  # 1961,B.P.Bayhurst+       ## 11462012  #dY:6.5%   
         14.95            0      0.00522      0.00044  # 1988,Y.Ikeda+            ## 22089061  #dY:8.4%   
          15.2          0.2       0.0048       0.0007  # 1990,A.Marcinkowski+     ## 30940007  #dY:14.6%  
          15.3          0.2       0.0055       0.0004  # 2010,V.Semkova+          ## 22822011  #dY:7.3%   
          15.4          0.2       0.0046       0.0006  # 1990,A.Marcinkowski+     ## 30940007  #dY:13.0%  
          15.9          0.5       0.0053       0.0011  # 1990,A.Marcinkowski+     ## 30940007  #dY:20.8%  
          16.3          0.3       0.0067       0.0006  # 2010,V.Semkova+          ## 22822011  #dY:9.0%   
          16.5         0.15       0.0066       0.0006  # 1961,B.P.Bayhurst+       ## 11462012  #dY:9.1%   
          16.6          0.1       0.0052        0.001  # 1990,A.Marcinkowski+     ## 30940007  #dY:19.2%  
         17.35         0.09       0.0078       0.0012  # 2016,B.Champine+         ## 14447005  #dY:15.4%  
          17.8          0.2       0.0071       0.0006  # 2010,V.Semkova+          ## 22822011  #dY:8.5%   
         17.95         0.16        0.006       0.0005  # 1961,B.P.Bayhurst+       ## 11462012  #dY:8.3%   
         18.34         0.09       0.0083       0.0012  # 2016,B.Champine+         ## 14447005  #dY:14.5%  
          19.3          0.2       0.0068       0.0005  # 2010,V.Semkova+          ## 22822011  #dY:7.4%   
         19.33        0.095       0.0074       0.0011  # 2016,B.Champine+         ## 14447005  #dY:14.9%  
         19.76        0.215       0.0053       0.0005  # 1961,B.P.Bayhurst+       ## 11462012  #dY:9.4%   
         20.32        0.095       0.0077       0.0012  # 2016,B.Champine+         ## 14447005  #dY:15.6%  
          20.6          0.1       0.0065       0.0005  # 2010,V.Semkova+          ## 22822011  #dY:7.7%   
         21.31          0.1       0.0065       0.0013  # 2016,B.Champine+         ## 14447005  #dY:20.0%  
//
#-------------------------------------------------------------------------------
